id,name,address,location,area,price,tenure_of_stay,is_vacant,priority,image_url
1,Daniel Brown,509 Park Ave,"Nashville, TN",869,226305.52,3 months,False,Medium,https://picsum.photos/seed/house1/400/300
2,James Williams,3682 Sunset Blvd,"Atlanta, GA",1264,330947.72,5 years,True,Medium,https://picsum.photos/seed/house2/400/300
3,William Smith,2715 Lake St,"New York, NY",1828,210091.83,3 years,False,Medium,https://picsum.photos/seed/house3/400/300
4,Betty Johnson,7627 Hillcrest Dr,"Atlanta, GA",1650,470629.47,3 years,False,Low,https://picsum.photos/seed/house4/400/300
5,Robert Johnson,3833 Main St,"Tampa, FL",1588,320205.79,6 months,False,Low,https://picsum.photos/seed/house5/400/300
6,Nancy Rodriguez,1269 Washington Ave,"Spokane, WA",2004,318292.18,Lease (12 months),True,Medium,https://picsum.photos/seed/house6/400/300
7,Mark Johnson,3852 Oak Ave Apt 21,"Houston, TX",1314,400571.6,3 years,True,Medium,https://picsum.photos/seed/house7/400/300
8,Richard Lee,7617 Elm St,"Nashville, TN",2749,598129.45,5 years,False,Low,https://picsum.photos/seed/house8/400/300
9,Linda Jones,8448 5th Ave,"San Francisco, CA",3020,391533.12,3 months,False,Low,https://picsum.photos/seed/house9/400/300
10,Joseph Taylor,4219 Hillcrest Dr Unit 4,"Las Vegas, NV",2649,706269.29,3 years,True,Low,https://picsum.photos/seed/house10/400/300
11,Jennifer Anderson,153 Park Ave Unit 6,"Salt Lake City, UT",885,257812.95,Lease (12 months),False,Low,https://picsum.photos/seed/house11/400/300
12,Barbara Garcia,8937 2nd St Apt 1,"Denver, CO",529,63480.56,2 years,True,Low,https://picsum.photos/seed/house12/400/300
13,Donald Jackson,1390 Pine Rd Unit 3,"Charlotte, NC",965,119852.13,Lease (12 months),True,Low,https://picsum.photos/seed/house13/400/300
14,Margaret Martin,7032 Lincoln Dr Unit 7,"Springfield, IL",2084,672552.55,Month-to-month,False,Medium,https://picsum.photos/seed/house14/400/300
15,Linda Davis,1149 Broadway Unit 19,"Buffalo, NY",2860,398678.86,1 month,True,Low,https://picsum.photos/seed/house15/400/300
16,Mary Hernandez,1260 2nd St Unit 9,"Denver, CO",1327,293476.64,Month-to-month,True,High,https://picsum.photos/seed/house16/400/300
17,Betty Wilson,3219 Cedar Blvd Apt 7,"Seattle, WA",2133,430669.15,3 months,True,Medium,https://picsum.photos/seed/house17/400/300
18,David Brown,4173 Lincoln Dr Apt 13,"San Francisco, CA",2178,292189.06,3 months,False,High,https://picsum.photos/seed/house18/400/300
19,Margaret Moore,1704 Oak Ave,"Salt Lake City, UT",1418,186573.53,1 year,False,High,https://picsum.photos/seed/house19/400/300
20,Jennifer Gonzalez,135 River Rd Apt 17,"Seattle, WA",2726,665053.5,1 year,False,Low,https://picsum.photos/seed/house20/400/300
21,Mary Jackson,8983 Oak Ave,"Savannah, GA",2402,506039.12,6 months,True,Featured,https://picsum.photos/seed/house21/400/300
22,Robert Garcia,1222 Pine Rd,"Las Vegas, NV",2783,414960.37,3 months,False,Medium,https://picsum.photos/seed/house22/400/300
23,Charles Taylor,5283 Park Ave,"Chicago, IL",2071,256641.27,Month-to-month,False,High,https://picsum.photos/seed/house23/400/300
24,Sandra Williams,252 Church St,"Houston, TX",2652,368999.61,3 years,True,High,https://picsum.photos/seed/house24/400/300
25,Barbara Martinez,2684 Church St Unit 10,"Columbus, OH",3128,670418.36,Lease (12 months),False,High,https://picsum.photos/seed/house25/400/300
26,Patricia Jones,4433 Cedar Blvd,"Chicago, IL",1604,376846.06,1 year,False,Medium,https://picsum.photos/seed/house26/400/300
